Irradiance,Temperature,V_PV,I_PV
500,2,45.3394290731505,0.906788581463009
700,2,46.1471425805742,0.922942851611483
800,2,46.3899306720201,0.927798613440401
900,2,46.6920684959234,0.933841369918468
1000,2,46.9102554717271,0.938205109434541
500,4,45.0207574446801,0.900415148893601
600,4,45.473503062928,0.90947006125856
700,4,45.8312799319945,0.91662559863989
900,4,46.3787906070425,0.927575812140849
1000,4,46.6388148486838,0.932776296973675
600,6,45.1560407900578,0.903120815801156
700,6,45.5152271479051,0.910304542958102
800,6,45.7698604786059,0.915397209572117
900,6,46.0653120712109,0.921306241424218
1000,6,46.2857931057472,0.925715862114945
500,8,44.3261818915452,0.886523637830905
700,8,45.1989857525884,0.903979715051767
800,8,45.4973015943401,0.909946031886803
900,8,45.7516345229532,0.915032690459063
1000,8,45.9732568924439,0.919465137848878
700,10,44.8825572466989,0.897651144933978
800,10,45.1821966178167,0.903643932356333
900,10,NaN,NaN
1000,10,45.6605195246116,0.913210390492231
600,12,44.2025703752572,0.884051407505144
700,12,44.565943107794,0.89131886215588
800,12,44.8669003784594,0.897338007569189
900,12,45.1127815035276,0.902255630070552
600,14,43.884390334335,0.8776878066867
700,14,44.2491447908485,0.88498289581697
800,14,44.5514143928331,0.891028287856662
900,14,44.8094237753935,0.89618847550787
1000,14,45.0344477727389,0.900688955454777
600,16,43.6231997758304,0.872463995516608
700,16,43.9321637287553,0.878643274575106
800,16,44.2357401545511,0.884714803091021
900,16,44.5165150338509,0.890330300677017
1000,16,44.6676711931607,0.893353423863213
300,18,41.2121130890333,0.824242261780665
600,18,43.2475035116626,0.864950070233252
700,18,43.5942234946373,0.871884469892746
800,18,43.9198791347761,0.878397582695522
900,18,44.1803170759154,0.883606341518307
1000,18,44.4075905040696,0.888151810081392
500,20,42.4651968991027,0.849303937982054
600,20,42.928799363623,0.85857598727246
700,20,43.3317620484731,0.866635240969461
900,20,43.8109412908424,0.876218825816848
1000,20,44.0938711526447,0.881877423052893
500,22,42.144996999329,0.84289993998658
600,22,42.6099231144456,0.852198462288912
700,22,42.9801380793873,0.859602761587745
900,22,43.5504514987791,0.871009029975582
1000,22,43.7799599987437,0.875599199974874
600,24,42.2485530648589,0.844971061297178
700,24,42.6624399407004,0.853248798814008
800,24,42.9711897714809,0.859423795429619
900,24,43.2352377923015,0.864704755846031
1000,24,-522148810818080,-10442976216361.6
500,26,41.5041070390825,0.830082140781649
600,26,42.1024011808684,0.842048023617368
700,26,42.3445659066242,0.846891318132482
800,26,42.7052720173778,0.854105440347556
900,26,42.9198387171237,0.858396774342474
1000,26,43.1515681788601,0.863031363577201
500,28,41.2480979156711,0.824961958313422
600,28,41.6324055969671,0.832648111939342
700,28,42.0265172872919,0.840530345745838
800,28,42.3378222928174,0.846756445856347
1000,28,42.8370904073975,0.856741808147951
500,30,40.8625710848889,0.817251421697778
600,30,41.4575043883977,0.829150087767954
900,30,42.2884900664474,0.845769801328948
1000,30,42.5224266233809,0.850448532467619
500,32,40.5890544262429,0.811781088524858
600,32,41.0130041198373,0.820260082396746
700,32,41.3899014390142,0.827798028780284
900,32,41.9725432436982,0.839450864873963
1000,32,42.2075782228796,0.844151564457591
400,34,39.5907396075284,0.791814792150568
500,34,40.2203979820285,0.804407959640569
600,34,40.6931212747094,0.813862425494189
700,34,41.0713367371417,0.821426734742833
800,34,41.46484055371,0.829296811074201
900,34,41.6564165585734,0.833128331171467
1000,34,41.8925465822395,0.83785093164479
300,36,38.3285833680477,0.766571667360954
400,36,39.2685229527035,0.785370459054069
500,36,39.7085006219873,0.794170012439745
600,36,40.3730748351291,0.807461496702581
800,36,41.0689570218271,0.821379140436541
1000,36,41.5773330584842,0.831546661169685
500,38,39.5775963346423,0.791551926692846
600,38,40.0528659484079,0.801057318968159
700,38,40.4336999616023,0.808673999232045
800,38,40.7513044929721,0.815026089859443
900,38,41.023628894878,0.820472577897561
1000,38,41.2619389897054,0.825238779794109
400,40,38.6236314066404,0.772472628132808
500,40,39.2559624320325,0.78511924864065
600,40,39.7324957459262,0.794649914918523
700,40,40.3239265893272,0.806478531786544
800,40,40.4334800136328,0.808669600272656
900,40,40.8073713600156,0.816147427200311
1000,40,40.9463656954431,0.818927313908863
500,42,38.766833823834,0.775336676476681
600,42,39.4119653434603,0.788239306869206
700,42,39.7953947336106,0.795907894672211
800,42,40.1154848199304,0.802309696398607
900,42,40.3901374788327,0.807802749576655
1000,42,40.5829324237266,0.811658648474532
500,44,38.6122335971349,0.772244671942698
600,44,39.0912758415029,0.781825516830057
700,44,39.4759944034793,0.789519888069586
800,44,39.7973201309233,0.795946402618467
900,44,40.0731310362477,0.801462620724953
1000,44,40.3146866180903,0.806293732361806
400,46,37.6551630707208,0.753103261414415
600,46,38.7704283255742,0.775408566511484
700,46,39.1564304719893,0.783128609439787
800,46,39.4789871489498,0.789579742978995
900,46,39.7559524279105,0.79511904855821
1000,46,39.9985833846175,0.79997166769235
500,48,37.9678967362263,0.759357934724527
600,48,38.4494238665275,0.768988477330549
700,48,38.8367040764591,0.776734081529182
800,48,39.1604870599625,0.78320974119925
900,48,39.4386028756751,0.788772057513503
1000,48,39.682306025594,0.793646120511881
300,50,36.0754753086235,0.72150950617247
400,50,37.0087745533807,0.740175491067613
500,50,37.6455027521583,0.752910055043166
600,50,38.0491195639644,0.760982391279287
700,50,38.5168163388056,0.770336326776111
800,50,38.8418210338565,0.776836420677129
900,50,39.1210835849062,0.782421671698125
1000,50,39.3658557731901,0.787317115463803
